budget,popularity,revenue,runtime,title,vote_average,vote_count,,,,,,,,,,
100000000,16.759252,108103450,136,Hidalgo,6.5,318,,,,,,,,,,
68000000,27.299301,203388341,136,Vanilla Sky,6.5,1078,,,,,,,,,,
380000000,135.413856,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948,,,,,,,,,,
115000000,54.035265,924317558,136,Star Wars: Episode I - The Phantom Menace,6.3,4432,,,,,,,,,,
95000000,31.086791,250288523,136,The Mask of Zorro,6.3,1183,,,,,,,,,,
18000000,8.700565,70687344,136,Firefox,5.5,139,,,,,,,,,,
60000000,29.211255,74208267,136,The Core,5.4,516,,,,,,,,,,
68000000,26.792794,75715436,136,Dreamcatcher,5.3,567,,,,,,,,,,
32350000,46.509071,572700000,135,Return of the Jedi,7.9,4665,,,,,,,,,,
60000000,59.248437,313542341,135,A Beautiful Mind,7.7,3009,,,,,,,,,,
28000000,36.58383,121147947,135,Pride & Prejudice,7.7,1358,,,,,,,,,,
68000000,139.575085,211817906,135,Fury,7.4,3946,,,,,,,,,,
1000000,14.805264,24475416,135,Sling Blade,7.4,231,,,,,,,,,,
24000000,17.606087,182016617,135,The Bridges of Madison County,7.3,385,,,,,,,,,,
